Unnamed: 0,mid,uid,个人昵称,个人主页,发布时间,内容来自,展示内容,全部内容,转发数量,评论数量,点赞数量,展示内容_情感分析,全部内容_情感分析
12,5037255276628876,7344875125,·悬崖上的多妞·,https://weibo.com/7344875125,05月23日 18:05,战所愿皆成真,#福州大学#被猥亵女生出于信任求助辅导员，辅导员帮着30岁男的卖惨，贵校处理事情方式真是让人惊叹​,,2,1,530,"{'惊讶': 0.9995225667953491, '喜悦': 0.9966205954551697, '愤怒': 0.7018031477928162, '恐惧': 0.038404352962970734, '中性': 0.004726797807961702, '悲伤': 0.0013849569950252771, '厌恶': 0.0013525347458198667}",{'error': '文本为空'}
13,5037253399416194,6396943187,吖妮耶,https://weibo.com/6396943187,05月23日 17:57,iPhone 14 Pro Max,#福州大学#有看见当事人在某平台发的帖子，能说出：没有谁的人生易如反掌。”可见当事人的素质有多高。​,,12,25,164,"{'惊讶': 0.7115561366081238, '中性': 0.11643729358911514, '愤怒': 0.0953170657157898, '悲伤': 0.037490032613277435, '恐惧': 0.010388289578258991, '喜悦': 0.004783094860613346, '厌恶': 0.0036275836173444986}",{'error': '文本为空'}
14,5037255390136905,7782041821,容嬷嬷的姐姐容婆婆,https://weibo.com/7782041821,05月23日 18:05,,#福州大学一男生猥亵女生##福州大学#吃过太多次被带入的亏了，这次我怎么也等通报出来再发言。表明态度，我会一直站在正确的角度评论任何事情。三观及立场永远都会是正面的。​,,6,100,290,"{'中性': 0.9779775142669678, '惊讶': 0.350986510515213, '喜悦': 0.1357651799917221, '恐惧': 0.054229989647865295, '悲伤': 0.04266444593667984, '愤怒': 0.005721502937376499, '厌恶': 0.0004416808078531176}",{'error': '文本为空'}
15,5097547079614765,6183821367,萌宠避风港,https://weibo.com/6183821367,11月06日 03:03,微博视频号,福州大学#流浪狗#“回回”为救被掩埋的小奶猫，挖掘石缝一个多小时，爪子磨至流血。网友感慨：善心不问种类！#福州大学##流浪狗##小奶猫##英勇救助##善良灵魂##不分物种##福州#萌宠避风港的微博视频​,,0,0,0,"{'惊讶': 0.999390721321106, '愤怒': 0.9975925087928772, '悲伤': 0.9952462911605835, '喜悦': 0.800046980381012, '中性': 0.5285493731498718, '恐惧': 0.46464699506759644, '厌恶': 0.07700849324464798}",{'error': '文本为空'}
16,5097465609457740,5014390818,在下王帅,https://weibo.com/5014390818,11月05日 21:39,iPhone客户端,直租，三室一厅，大阳台~大学城，看房联系18396126105#租房##福建师范大学##福州大学#福州·旗山湖公园​,,0,1,0,"{'惊讶': 0.6660063862800598, '喜悦': 0.36993902921676636, '中性': 0.20255877077579498, '悲伤': 0.0021200336050242186, '愤怒': 0.0010064251255244017, '厌恶': 0.0006621205247938633, '恐惧': 0.0005425894050858915}",{'error': '文本为空'}
17,5096651892460646,5718328592,HuHii-烤盐上岸,https://weibo.com/5718328592,11月03日 15:46,iPhone客户端,拿到小福送滴校庆文创啦！！！FZU定制U盘好开心好开心！！！福大我们下次见～#校庆##福州大学#超级感谢@福州大学官博！祝福大越来越好！为祖国培育更多优秀人才！！！福州·福州大学旗山校区​,,0,1,1,"{'喜悦': 0.9977374076843262, '惊讶': 0.9859153032302856, '中性': 0.01735461875796318, '恐惧': 0.0002304079243913293, '厌恶': 0.00017912501061800867, '愤怒': 0.00014339236076921225, '悲伤': 0.00012096423597540706}",{'error': '文本为空'}
18,5095961230312185,5050820001,土澳大叔,https://weibo.com/5050820001,11月01日 18:01,福州大学超话,您好我想咨询一下澳大利亚留学。国内211大学#福州大学#金融学专业毕业。均分82，想申请移民专业，例如采矿和护理和康复治疗。哪些项目支持我跨专业申请好滴私信帮你规划澳洲🇦🇺留学方案👌#澳大利亚留学申请##澳洲留学申请##新南威尔士大学#福州大学超话​,,0,0,1,"{'惊讶': 0.35686376690864563, '中性': 0.1347050964832306, '喜悦': 0.0016216549556702375, '厌恶': 0.0002826490381266922, '愤怒': 0.00021013511286582798, '恐惧': 0.00017652605311013758, '悲伤': 0.00017182627925649285}",{'error': '文本为空'}
19,5095184406938893,5145725714,TIMELOCK官方微博,https://weibo.com/5145725714,10月30日 14:34,微博网页版,#时间胶囊##时间舱##时间囊##时光胶囊##福州大学#​​​,,0,0,0,"{'惊讶': 0.7045049667358398, '中性': 0.19441090524196625, '悲伤': 0.09771444648504257, '愤怒': 0.02726653777062893, '恐惧': 0.007369625847786665, '喜悦': 0.006781053729355335, '厌恶': 0.003462577937170863}",{'error': '文本为空'}
20,5094417283421594,7615642915,福建高校表白君,https://weibo.com/7615642915,10月28日 11:46,OPPO随光而变R17,君君匿名投个稿。福大毕业三年了，三明人，155cm/92kg，虽然身高不高但心怀大海嘻嘻嘻，小巧可爱型爱笑，长相还不错，目前工作稳定（体制内），爱好旅游摄影，喜欢尝试新鲜有挑战的事物。希望对方上进，体制内优先，年龄相仿。#福建脱单交友发布栏##福建高校##福州大学#​,,0,2,0,"{'喜悦': 0.7356283068656921, '中性': 0.5491704344749451, '惊讶': 0.3015076816082001, '恐惧': 0.0001825301442295313, '愤怒': 0.00017617124831303954, '悲伤': 0.0001715752005111426, '厌恶': 0.00016825387137942016}",{'error': '文本为空'}
21,5094206697113333,1859178471,美立方吴金坠,https://weibo.com/1859178471,10月27日 21:49,微博视频号,正值福州大学66周年之际，福大一厦大德善杯高尔夫挑战赛颁奖典礼，邀请歌曲#《福大往事》创作者肖山老师现场演唱，而虞芙妮品牌创始人吴金坠，也是该歌曲的词创作人之一，我们一起重温一下#福大的青春岁月#虞芙妮#肖山#福州大学#厦门大学#福大往事美立方吴金坠的微博视频​,,0,1,10,"{'惊讶': 0.47609442472457886, '中性': 0.07648875564336777, '喜悦': 0.06247194483876228, '悲伤': 0.0016102060908451676, '恐惧': 0.0012224717065691948, '愤怒': 0.0006903601461090147, '厌恶': 0.00036009904579259455}",{'error': '文本为空'}
22,5088927830247916,6183821367,萌宠避风港,https://weibo.com/6183821367,10月13日 08:13,微博视频号,#福州大学#流浪狗回回是位狗狗英雄，世间满目疮痍，它却努力修补#狗狗##狗狗的心思尽在脸上##正能量##福州大学流浪狗回回##狗狗侠##福州#萌宠避风港的微博视频​,,0,0,0,"{'惊讶': 0.9614297747612, '中性': 0.9235414862632751, '喜悦': 0.036866217851638794, '愤怒': 0.0007755433325655758, '恐惧': 0.0006402521394193172, '厌恶': 0.000428338156780228, '悲伤': 0.000420524476794526}",{'error': '文本为空'}
23,5088642955479394,5526424907,这是一只鼠w,https://weibo.com/5526424907,10月12日 13:21,HUAWEI Mate 60 Pro,生成一个随机数然后收费#福州大学#,,0,0,8,"{'惊讶': 0.77397221326828, '中性': 0.40188318490982056, '悲伤': 0.03443295881152153, '恐惧': 0.012000667862594128, '愤怒': 0.010110712610185146, '喜悦': 0.007277629338204861, '厌恶': 0.00648906035348773}",{'error': '文本为空'}
24,5087525805493799,6083654311,快乐的啵啵啵啵啵,https://weibo.com/6083654311,10月09日 11:22,小米10S,福州大学312#福州大学##心理学考研#​,,0,1,1,"{'惊讶': 0.8321282863616943, '悲伤': 0.2736755907535553, '中性': 0.22455725073814392, '愤怒': 0.16952741146087646, '恐惧': 0.054050907492637634, '厌恶': 0.022990189492702484, '喜悦': 0.005727178882807493}",{'error': '文本为空'}
25,5085444089845583,6605418944,金毛治郁系,https://weibo.com/6605418944,10月03日 17:30,微博视频号,#在流浪狗回回身上看见无尽的爱意##汪汪队立大功##流浪狗回回##福州大学##小狗的爱永恒##福州#金毛治郁系的微博视频​,,0,0,0,"{'喜悦': 0.9919672012329102, '惊讶': 0.966537356376648, '中性': 0.015360441990196705, '愤怒': 0.0037538534961640835, '恐惧': 0.000717103888746351, '悲伤': 0.0006002824520692229, '厌恶': 0.0003673603350762278}",{'error': '文本为空'}
26,5084340761660298,7615642915,福建高校表白君,https://weibo.com/7615642915,09月30日 16:26,福建高校表白君超话,94年男生，福大硕士，173cm，61kg，厦门上市公司就业，不抽烟不打游戏。择偶要求，两个人合的来即可。#福建高校#福建高校表白君超话#福建脱单交友发布栏##福州大学#​,,0,1,0,"{'中性': 0.9669152498245239, '惊讶': 0.6629497408866882, '喜悦': 0.09466197341680527, '愤怒': 0.0025004029739648104, '厌恶': 0.0017052341718226671, '悲伤': 0.0014009705046191812, '恐惧': 0.0011603556340560317}",{'error': '文本为空'}
27,5083083971756234,5992567656,流浪猫的喵喵家,https://weibo.com/5992567656,09月27日 05:12,微博视频号,#福州大学#流浪狗“八公”的故事落幕#创作启发##狗狗的心情全在脸上##流浪狗找到归宿##世界残破不堪小狗用心修补##狗狗成了精##福州#流浪猫的喵喵家的微博视频​,,0,1,0,"{'惊讶': 0.9022657871246338, '悲伤': 0.8264044523239136, '愤怒': 0.24086564779281616, '喜悦': 0.1297050416469574, '中性': 0.04102634638547897, '恐惧': 0.03842771425843239, '厌恶': 0.0034296244848519564}",{'error': '文本为空'}
28,5081006032293526,6750661060,福州大学考研助手,https://weibo.com/6750661060,09月21日 11:35,福大考研超话,福大考研超话红果研考研超话#考研英语#福州大学考研超话#福州大学#福大考研超话#决战考研##bilibili##24考研#实验哐哐做！​,,0,1,0,"{'惊讶': 0.9392834901809692, '愤怒': 0.034321464598178864, '喜悦': 0.02740808203816414, '中性': 0.026105457916855812, '厌恶': 0.001644603325985372, '恐惧': 0.001233887393027544, '悲伤': 0.0006298274965956807}",{'error': '文本为空'}
29,5080772001666016,1904386234,吴茜茜钢琴,https://weibo.com/1904386234,09月20日 20:05,iPhone 11 Pro Max,来有福之州，做有福之人。品#福州大学#的福月饼。🥮#月饼#福州​,,0,0,4,"{'喜悦': 0.9583701491355896, '惊讶': 0.8355685472488403, '中性': 0.003911726176738739, '恐惧': 0.00018849315529223531, '愤怒': 0.00018036557594314218, '悲伤': 0.00017989387561101466, '厌恶': 0.00016465215594507754}",{'error': '文本为空'}
30,5080308078348818,5817063928,友一哭,https://weibo.com/5817063928,09月19日 13:21,福州大学超话,19元192g流量还挺好用的#福州大学##流量卡##广电#福州大学超话​,,0,3,0,"{'中性': 0.7062655687332153, '惊讶': 0.4969751834869385, '喜悦': 0.12882284820079803, '悲伤': 0.0007134855259209871, '恐惧': 0.00032347041997127235, '愤怒': 0.00031402523745782673, '厌恶': 0.0002581419248599559}",{'error': '文本为空'}
31,5080131657532082,5717675588,-李梨梨,https://weibo.com/5717675588,09月19日 01:40,iPhone客户端,本科树莓漫画课的独特小展#展览##厦门##福州大学#厦门·福州大学厦门工艺美术学院​,,0,0,2,"{'惊讶': 0.8700459599494934, '悲伤': 0.0722200870513916, '喜悦': 0.030703598633408546, '中性': 0.011408951133489609, '愤怒': 0.0057085733860731125, '恐惧': 0.0007554127951152623, '厌恶': 0.0006835776148363948}",{'error': '文本为空'}
32,5079221005193320,7207456490,常炳禄,https://weibo.com/7207456490,09月16日 13:21,微博视频号,#一场特殊的生日会福州大学是所有小动物都想考的大学吧！#动物#福州大学#流浪狗#爱#微博VC计划#常炳禄的微博视频​,,0,1,1,"{'喜悦': 0.994444727897644, '惊讶': 0.9767472147941589, '中性': 0.008350847288966179, '愤怒': 0.0002708659740164876, '恐惧': 0.00024236399622168392, '厌恶': 0.0002221311442553997, '悲伤': 0.0001993318146560341}",{'error': '文本为空'}
33,5078471996866572,6921255821,我说no你说不,https://weibo.com/6921255821,09月14日 11:45,HUAWEI Pura 70,记一个福大给的中秋福利#大学生活##福州大学##日常#​,,0,2,3,"{'喜悦': 0.9772706031799316, '中性': 0.4955524504184723, '惊讶': 0.3377320468425751, '厌恶': 0.0005045332363806665, '愤怒': 0.00042617536382749677, '恐惧': 0.00041827905806712806, '悲伤': 0.0004061324871145189}",{'error': '文本为空'}
34,5078203310539302,1265518314,永平法硕李志勇学长,https://weibo.com/1265518314,09月13日 17:58,微博网页版,#法硕就业#法院系统：1、刘，江西#瑞金#人，#上海海事大学#，#法本法硕#专业，2022年入职江西省瑞金市人民法院。2、吴，江西九江人，#福州大学#法学院，#法硕非法学#专业，2021年入职江苏扬中市人民法院。3、张，江苏#宿迁#人，#南京信息工程大学#，#法硕非法学#专业377，2024年入职江苏宿迁市宿豫​展开,#法硕就业#法院系统：1、刘，江西#瑞金#人，#上海海事大学#，#法本法硕#专业，2022年入职江西省瑞金市人民法院。2、吴，江西九江人，#福州大学#法学院，#法硕非法学#专业，2021年入职江苏扬中市人民法院。3、张，江苏#宿迁#人，#南京信息工程大学#，#法硕非法学#专业377，2024年入职江苏宿迁市宿豫区人民法院。4、吴，江苏宿迁人，#天津工业大学#知识产权学院，#法硕非法学#专业360，2024年入职江苏宿迁市宿豫区人民法院。5、张，江苏启东人，#法律硕士#，2024年入职江苏南通市通州湾江海联动开发示范区人民法院。,0,0,0,"{'惊讶': 0.2673887014389038, '中性': 0.020652711391448975, '喜悦': 0.014800665900111198, '悲伤': 0.0025464852806180716, '愤怒': 0.0019852633122354746, '厌恶': 0.0010713542578741908, '恐惧': 0.0008161938167177141}","{'惊讶': 0.16699887812137604, '中性': 0.01690785400569439, '喜悦': 0.003447504946961999, '愤怒': 0.0028246997389942408, '悲伤': 0.002799754263833165, '厌恶': 0.0014560841955244541, '恐惧': 0.0009814181830734015}"
35,5077684183107873,2401967177,黄建明-叁哥,https://weibo.com/2401967177,09月12日 07:35,HUAWEI P40 Pro 5G,福州大学，请多多关照！#福州大学##越努力越幸运#福州·福州大学铜盘校区​,,0,1,0,"{'喜悦': 0.9649051427841187, '惊讶': 0.9186015129089355, '中性': 0.10254329442977905, '厌恶': 0.0002918516693171114, '恐惧': 0.0002816733031067997, '愤怒': 0.0002233318518847227, '悲伤': 0.00019660693942569196}",{'error': '文本为空'}
36,5077511667190650,7547955370,-念棠-,https://weibo.com/7547955370,09月11日 20:09,iPhone客户端,之前在忙，一直没整理。今天清理网盘时发现了复试的资料。23年报考的福州大学的图书情报专硕，遗憾没成功上岸。复试前从学长那边买的真题、复试流程、教材等等，还是挺有用，只怪自己初试考的不高。总之，大家都太厉害啦（硬是把复试线抬高十几分分）有一志愿考福州大学的姐妹，需要复试材​展开,之前在忙，一直没整理。今天清理网盘时发现了复试的资料。23年报考的福州大学的图书情报专硕，遗憾没成功上岸。复试前从学长那边买的真题、复试流程、教材等等，还是挺有用，只怪自己初试考的不高。总之，大家都太厉害啦（硬是把复试线抬高十几分分）有一志愿考福州大学的姐妹，需要复试材料的话可以滴滴我。先祝大家初试顺利～上岸#福州大学##考研##图书情报#图书情报硕士MLIS超话图书情报专硕超话#图书情报专业复试#,0,0,0,"{'悲伤': 0.9050492644309998, '惊讶': 0.6034278869628906, '愤怒': 0.22532594203948975, '中性': 0.026443039998412132, '恐惧': 0.001931169768795371, '喜悦': 0.0009329004678875208, '厌恶': 0.0007722817244939506}","{'悲伤': 0.36161038279533386, '愤怒': 0.00910917017608881, '惊讶': 0.002005792921409011, '中性': 0.0017731247935444117, '厌恶': 0.0006781851989217103, '恐惧': 0.0005326578975655138, '喜悦': 0.00048676718142814934}"
37,5075875678913182,5534277971,圣考研网,https://weibo.com/5534277971,09月07日 07:48,百度App,"《【初试】福州大学085100建筑#355建筑学基础#华研辅导-圣考资料网-25考研》欢迎登陆→#福州大学#研究生院校资料历年真题，研究方向，参考书目，复试分数，报录比等信息,供大家参考。最新版本，请点这里获得【初试】2网页链接​",,0,0,0,"{'中性': 0.07576432079076767, '惊讶': 0.05486970767378807, '喜悦': 0.0016173924086615443, '愤怒': 0.0007944139069877565, '厌恶': 0.0006684131803922355, '恐惧': 0.00040817318949848413, '悲伤': 0.0002669380628503859}",{'error': '文本为空'}
38,5075762061508744,6297984921,装满甜茶,https://weibo.com/6297984921,09月07日 00:17,微博轻享版,开始学#福州大学#​,,0,0,0,"{'惊讶': 0.7046936750411987, '中性': 0.4901382625102997, '喜悦': 0.34016168117523193, '愤怒': 0.0707121342420578, '悲伤': 0.06249316781759262, '恐惧': 0.022599363699555397, '厌恶': 0.004321932792663574}",{'error': '文本为空'}
39,5075166962909497,7528687371,长江国际真可以,https://weibo.com/7528687371,09月05日 08:52,iPhone客户端,#福州大学#找研究生队友一起参加数学建模比赛​,,0,1,0,"{'惊讶': 0.7883557677268982, '喜悦': 0.09427687525749207, '中性': 0.07893024384975433, '悲伤': 0.012412503361701965, '愤怒': 0.005031673703342676, '恐惧': 0.0031387938652187586, '厌恶': 0.001427578623406589}",{'error': '文本为空'}
40,5074486346646194,7615642915,福建高校表白君,https://weibo.com/7615642915,09月03日 11:48,OPPO随光而变R17,99福大研二，179，南昌人，性格开朗，热爱生活，希望找个同在福州读书的南昌人。#福建高校##研究生##福州大学#​,,0,0,0,"{'喜悦': 0.9977380633354187, '中性': 0.9832998514175415, '惊讶': 0.9550064206123352, '悲伤': 0.00045942197903059423, '愤怒': 0.0002940440026577562, '厌恶': 0.000258456653682515, '恐惧': 0.0002566697367001325}",{'error': '文本为空'}
41,5072749107874223,6605418944,金毛治郁系,https://weibo.com/6605418944,08月29日 16:44,微博视频号,#福州大学#记录汪星人的账号火了#福州大学##狗狗##福州大学流浪狗##流浪狗回归##福州#金毛治郁系的微博视频​,,0,3,1,"{'惊讶': 0.871066689491272, '愤怒': 0.25259190797805786, '恐惧': 0.08035828918218613, '喜悦': 0.04286925494670868, '中性': 0.03369370475411415, '悲伤': 0.016277393326163292, '厌恶': 0.001517079072073102}",{'error': '文本为空'}
42,5072020503271265,6085757600,就宠大狼狗,https://weibo.com/6085757600,08月27日 16:29,微博视频号,"#福州大学#校园内,一小奶猫不幸被埋土中,流浪狗“回回”奋力刨土救助,焦急呜咽,即便爪破血流仍心系猫咪#善良##万物有灵##福州#就宠大狼狗的微博视频​",,0,0,0,"{'悲伤': 0.9887033104896545, '惊讶': 0.9324889779090881, '中性': 0.7212923169136047, '恐惧': 0.643115758895874, '愤怒': 0.6391852498054504, '喜悦': 0.015006802044808865, '厌恶': 0.011111525818705559}",{'error': '文本为空'}
43,5067076897342632,5760419095,佩是泥蝶你别怀疑,https://weibo.com/5760419095,08月14日 01:05,iPhone客户端,#福州大学#为什么默许保安和保洁暴力驱赶流浪狗？？说话@福州大学​,,0,1,1,"{'惊讶': 0.9924768209457397, '愤怒': 0.8336584568023682, '恐惧': 0.6750941276550293, '厌恶': 0.5349788069725037, '悲伤': 0.2609502077102661, '中性': 0.012405235320329666, '喜悦': 0.0005048824823461473}",{'error': '文本为空'}
44,5066959670479063,7588452546,想给小狗织毛衣,https://weibo.com/7588452546,08月13日 17:19,iPhone客户端,#福州大学#打狗啥意思​,,0,0,0,"{'惊讶': 0.932304859161377, '愤怒': 0.4895153045654297, '厌恶': 0.3530483841896057, '恐惧': 0.26119524240493774, '中性': 0.027661962434649467, '悲伤': 0.007791272830218077, '喜悦': 0.0007488097762688994}",{'error': '文本为空'}
45,5062333543488570,7579471724,助研学姐,https://weibo.com/7579471724,07月31日 22:57,iPhone客户端,考福大的同学注意咯……#福州大学##考研#​,,0,0,0,"{'惊讶': 0.6239323019981384, '中性': 0.34742486476898193, '悲伤': 0.055930159986019135, '愤怒': 0.04279575124382973, '恐惧': 0.04149366542696953, '喜悦': 0.0030919061973690987, '厌恶': 0.0015251118456944823}",{'error': '文本为空'}
